Title,Body,Image,BannerImage,BannerText,BannerTitle,Relationships,MenuTitle,MenuPath,MenuFamily,Weight,Nid,BannerButton
"Making an Appointment","Call (555) 555-5555 to request an appointment. If you know the physician's name, we can schedule your appointment with that physician. If you don't know which physician you should visit, we can help you find a physician and schedule an appointment. You can also find your physician through our <a href=""/doctor-search"">Find a Doctor page</a>. Call 8 AM - 5 PM Monday through Friday.

Please have the following information available:
 •   Health insurance provider
 •   Name, address, and phone number of your primary care or referring physician

<b>Appointment Reminder</b>
    A few days before your appointment, our automated reminder system will call to confirm. Only respond if you need to change or cancel the appointment.

</b>What to Bring</b>
    Bring a list of your currently prescribed medications and any over-the-counter drugs you take. If you've had any procedures such as testing or surgery, send us your medical records before you visit. A nurse may call to review your health history and symptoms.",make-an-appointment2-sqr.jpg,make-an-appointment-banner.jpg,"Your next appointment is just a phone call away.","Your Next Visit","5018,5004,5007","Make an Appointment",appointments,menu-footer-menu-1,6,5002,"Make an Appointment"
"Patient Portal","This will be the Patient Portal page.",patient1-sqr.jpg,famguide1-wide.jpg,"Login to Patient Portal to access your medical records and more.","Patient Portal","5014,5002,5004","Patient Portal",patient-portal,menu-footer-menu-1,8,5003,Login
"Visitor Guidelines","    We know that a healing environment for our patients involves the loving support of family and friends. That's why we strive to allow guests flexible options for their visits. We invite guests to visit in accordance with each patient's wishes.


    We ask that visitors be courteous to other patients by keeping noise at a reasonable level while in the facility. Please keep in mind that all children under age must be supervised by an adult while in the facility. Additionally, if you or your children are experiencing any symptoms, such as sore throat, fever or cough, please plan to forego your visit.


    Other visiting restrictions may be enacted at varying times throughout the year, such as during influenza season. Often, room sizes may not allow for large group visits or other circumstances may reduce visiting hours. Please check with the individual unit for current visitation rules.",famguide2-sqr.jpg,famguide1-wide.jpg,"Help us keep Baypoint a safe, inviting place by following these guidelines.",Guidelines,"5005,5007,5006","Family & Visitor Guidelines",family-visitor,menu-footer-menu-2,2,5004,"Learn More"
"Visiting Hours","    Baypoint promotes a family friendly environment. We understand that visitors are important to the healing process and we encourage family and friends to visit. For the comfort and well being of all our patients, we ask that visitors follow the visiting hours listed below.

    We will only limit visitation in rare circumstances when it may compromise care to any of our patients.

Hospital Visiting Hours
8:30am - 9pm, except in the ICU

ICU Visiting Hours
9am - 2pm, 4pm - 6pm and 8:30pm - 10pm

If you have any questions regarding visiting hours, please call (555) 555-5555.",visiting1-sqr.jpg,visiting1-wide.jpg,"We believe that visitation plays an important role in patient care.","Visiting Hours","5006,5007,5021","Visiting Hours",visiting-hours,menu-footer-menu-2,4,5005,"Learn More"
"Identification Badges","    To protect the security and privacy of our patients, all visitors must check in with a Guest Services Representative at the Information Desk in the Main Lobby to obtain a Visitor Badge. A brief health screening will be conducted at the time of check-in.

    Badges must be worn at all times while visiting in the hospital. Adults who accompany children to Same Day Surgery receive their ID badges in that area. All guests under 18 years of age must be accompanied by an adult and are screened for infectious disease.

    Badges are issued at the Welcome/Information Center, Floor 1A, from 7 a.m. 10:30 p.m. daily, or in the Admitting office, Floor 1b. Off-hours badging services are available at the patient access desk in the Emergency Department.

Self-adhesive visitor ID badges are color-coded for easy recognition:
 •  Yellow badges indicate individuals who wish to visit the Family Resource Center or who need to go to an outpatient service on Floor 6, 7 or 9. Patients and families arriving to Floor 4 for a surgery or procedure receive a printed yellow badge at the registration desk.

 •  Pink badges are for families and guests to inpatient units on Floors 4, 5, 6, 7, 8 and 9, along with a swipe card for access. Visitors must provide a confidentiality code to receive a pink badge.

 •  White badges are given to visitors to the Emergency Department. They are valid in the ED and open access areas from Floors 1-3.

    Any visitor to the hospital or patient guest on the patient units or other area accessed by the orange elevators without an identification badge will be directed to the Welcome/Information Center to be properly identified and badged. Public Safety will be contacted if a guest is unwilling or unable to comply with this procedure.

Badges expire after 24 hours. Family members with children in an inpatient care unit are eligible to receive a one-week badge.",visitor-passes-sqr.jpg,famguide1-wide.jpg,"We use identification badges to protect your security and privacy.",Identification,"5004,5021,5007","Identification Badges",id-badges,menu-footer-menu-2,6,5006,"Learn More"
"Visitor Accommodations","Should you or your family have a question or concern about your experience at our hospital, we would like to hear from you. Patient Liaisons are available to maintain positive relations for patients and their families. The patient liaison can answer questions about hospital policies, encourage communication between hospital departments, and champion patient rights.

The patient liaison will:
 <ul><li>Assist with understanding the teaching-hospital environment (answer questions, explain policies, connect with appropriate staff)</li>
 <li>Provide a link between the hospital, patient and families, especially in areas of conflict resolution concerning treatment or care</li>
 <li>Provide a formal mechanism for the investigation, resolution and recording of a patient complaint</li>
 <li>Respond to concerned patients in a timely manner</li>
 <li>Maintain confidentiality of all files and allow access only to persons appropriately involved in the resolution of the concern</li>
 <li>Make recommendations for improvement based on patient and family feedback</li></ul>

You may contact us at 555-555-5555 Monday through Friday 8 am-5 pm, email a liaison at patientliaison@bpm.org, or stop by the Office of Patient & Family Affairs on the main floor of South campus and the third floor of the Center for Advanced Medicine. In the evenings or on weekends, please call the hospital operator at 555-555-5555 and ask for a nursing supervisor.

<b>Cafeteria</b>
Located on Level 1, our cafeteria is available for patients and visitors and is open every day from 6:5 am to 3 am.

<b>Coffee carts</b>
Espresso Express is located in the main lobby and is open from 5:30 am to 5 pm on weekdays and 7 am to 2 pm on weekends. The Sweet Labors coffee cart is located in front of Baypoint Medical and is open Monday through Friday, from 6:30 am to 7 pm.

<b>Vending machines</b>
Located next to the cafeteria, in the Main Lobby and in the Family Lounges.",visitor-accomodations-sqr.jpg,visitor-accomodations-banner.jpg,"We strive to provide the best experience for our patients and their visitors.","Visit Baypoint","5012,5021,5004","Visitor Accommodations",visitor-info,menu-footer-menu-2,8,5007,"Learn More"
Fundraising,"    The growth and success of Baypoint Medical has been made possible thanks to people like you who continue to invest in the health of our community. Your gifts–no matter what size–make a difference in thousands of lives every year. With your help, we are transforming medicine with leading-edge technologies, new and expanded state-of-the-art facilities and advanced clinical research. Learn more about Baypoint Medical Foundation's fundraising priorities by calling 800-888-CARE.",fundraising-sqr.jpg,fundraising_banner.jpg,"Baypoint fundraising events run throughout the year. Find out how you can help.",Fundraising,"5002,5007,5010",Fundraising,fundraising,menu-footer-menu-3,4,5009,"Join Us!"
Volunteering,"Baypoint Medical's hospitals offer many volunteer opportunities to serve the community, meet new people, and assist in a variety of programs–from Seriod Resource Centers to pediatrics. No matter what the skill level, no matter what age, Baypoint has a wide range of volunteer opportunities throughout the county.

Call the Baypoint Medical hospital nearest you to see how you can become a part of a rewarding volunteer program. If you have questions about volunteering at Baypoint Medical, call 800-888-CARE.",famguide1-sqr.jpg,visiting1-wide.jpg,"Volunteers help us give back to our great community.",Volunteering,"5009,5011,5012",Volunteering,volunteering,menu-footer-menu-3,6,5010,"Find Out How"
Giving,"There are many ways you can make a difference at Baypoint Medical and help us continue providing our patients with the highest quality care.

<b>Recognize Your Guardian Angel</b>
You can recognize the physician, nurse, or caregiver who made a difference in your or your loved one's visit or stay at Baypoint Medical with a Guardian Angel gift.

<b>Honor a Loved One</b>
Memorial and Tribute gifts serve to honor someone in your life, celebrate a birth, or remember a loved one who is no longer with you.

<b>Partner with Us</b>
Members of our Giving Societies enhance the missions of Baypoint Medical and its regional medical centers and specialty hospitals with annual gifts of $1,000 or more.

<b>Leave a Legacy</b>
Remembering Baypoint Medical in your estate plans or making a life-income gift offers income and tax benefits to you.

<b>Create a Culture of Giving at Your Company</b>
Our Distinguished Corporate Partners Program allows companies to help Baypoint put the latest medical discoveries and technologies to work in the county with a single, annual commitment of $10,000 or more in support of two or more fundraising events.

<b>Give Back to Baypoint as an Employee Donor</b>
Thousands of employees support Baypoint through charitable gifts, and together, donate more than $1 million a year to help us continue to be the best place to work, practice medicine and receive care.",story2-sqr.jpg,story1-wide.jpg,"With so many ways to give, big or small, you can help us make a difference.",Giving,"5003,5004,5005",Giving,giving,menu-footer-menu-3,8,5011,"Donate Today!"
"Our Mission","    It is our mission to improve the health of those we serve with a commitment to excellence in all that we do. Our goal is to offer quality care and programs that set community standards, exceed patients' expectations and are provided in a caring, convenient, cost-effective and accessible manner. As an integrated health care system, we offer a wide choice of career opportunities at our four acute-care hospitals, three specialty hospitals, two affiliated medical groups, outpatient and urgent care centers, home health, hospice and skilled nursing facilities.

    We will transform the healthcare experience through a culture of caring, quality, safety, service, innovation and excellence, and be recognized by employees, physicians, patients, volunteers, and the community as:

 •  The best place to work
 •  The best place to practice medicine, and
 •  The best place to receive care",slider2-sqr.jpg,slide1.jpg,"We are on a journey to make health care better for patients and their families.","Our Mission","5003,5004,5005","Our Mission",our-mission,menu-footer-menu-4,2,5012,"Read More"
"Careers and Opportunities","    Encouraging everyone to find their passion and purpose is at the heart of Baypoint Medical. We are focused on providing an innovative and caring environment where employees are valued for the role they play in helping Baypoint achieve its vision to be the best place to work, practice medicine and receive care. Become a part of our team and find out what it means to do what you love.

    At Baypoint Medical, we provide a positive, supportive, and innovative work environment that can help employees transform their own lives and grow professionally.

    Baypoint Medical offers a variety of career opportunities throughout the county. We're looking for talented, qualified and compassionate professionals to make Baypoint a great place to work. Baypoint Medical is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, gender identity, gender expression, sexual orientation, status as a protected veteran, among other things, or status as a qualified individual with disability.

Call 800-888-CARE to learn more about the career opportunities we offer.",careers-opportunities-sqr.jpg,careers-opportunities-banner.jpg,"Successful healthcare means changing lives for the better.",Careers,"5003,5004,5005",Careers,careers,menu-footer-menu-4,6,5014,"Learn More"
"Clinical Trials","    Our experts across all specialties participate in national clinical trials and perform the most advanced treatment methods using the latest technology available today. As a result, we offer a broader selection of medical, surgical and minimally invasive options to more people, including those who are not considered candidates for treatment elsewhere.

    As the recipient of millions of dollars annually in research funding, we offer you access to clinical trials at the forefront of treatment development, as well as advances in technologies and techniques, long before they become routinely available. You may be eligible to participate in our clinical trials, which test new cancer therapies, and explore genomics, the study of genes, how they function, and their impact on health.",clinical-trials-sqr.png,slider3-wide.jpg,"Now enrolling for a wide range of cardiac and cancer treatment clinical trials.","Clinical Trials","5004,5007,5020","Clinical Trials",clinical-trials,menu-top-links,1,5016,"Learn More"
"Finding a Hospital Room","    Located in the Main Lobby, our concierge staff is here to help you with hospital information, daily newspaper delivery, transportation, dining, gift arrangement and delivery, courier services, shopping and business services. We can provide MP3 player docking stations and digital photo frames for patient rooms, and help with other special requests. You may reach the concierge by dialing 12345 within the hospital.

Information Desk Hours
Monday through Friday: 5 am to 10 pm
Saturday and Sunday: 10 am to 6 pm

If you have trouble finding a building or hospital room, consult a receptionist at the nearest Information Desk or call 555-555-5555.",Hospital-room-finder-sqr.jpg,hospital-room-finder-banner.jpg,"Let us help you find where your loved one is staying.","Finding a Hospital Room","5018,5019,5006","Find a Hospital Room",hospital-rooms,menu-top-links,2,5017,"Find Hospital Room"
"Public Transit","Call 555-555-5555 for more information about public transportation, schedules, and fares.
Bus stops are located in front of the hospital.

<b>Bayview Avenue Bus</b>
Bayview 11 bus runs from Davisville Station on the Yonge train line to Sunnybrook and continuing to Sheppard and/or Steeles Avenue and back.

Service operates between Bayview Rehab Cardiac Centre and Baypoint Hospital. Service operates Monday to Friday. Service Hours are coordinated with cardiac exercises and the diabetic classes at the Cardiac Centre.

The trolley station is one block north on the corner of Main st and G st.

Note: Passes and fares are available at a discount for individuals with disabilities. ",public-transit-sqr.jpg,public-transit-banner.jpg,"Each Baypoint location is conveniently close to public transit lines.","Public Transit","5021,5017,5007","Public Transit",public-transit,menu-top-links,3,5018,"Read More"
"Hotel Accommodations","Several local hotels offer reduced medical rates to families of Baypoint Medical Center patients. Please contact Patient Relations for rates at (555) 555-5555.

Best Western at the Bay
The Best Western at the Bay has partnered with Baypoint Medical to provide a new patient- and family-centered resource for regional patients. The hotel is within walking distance to Baypoint Medical as well as the local shopping district and numerous restaurants. Best Western at the Bay offers traditional guest rooms and the Highway Club offers more elegant accommodations and amenities.",hotel-accomodations-sqr.jpg,hotel-accomodations-banner.jpg,"Looking for a comfortable place to stay near a Baypoint location?","Local Hotels","5018,5021,5002","Hotel Accomodations",hotel-accommodations,menu-top-links,4,5019,"Find Hotels"
Events,"Being a positive part of our community is important to us at Baypoint Medical Center. That's why we provide a wide range of events–from community events and fundraising activities, to conferences and continuing education for medical professionals. We have a long history of advocating to improve the health and safety of our community.

Baypoint has events throughout the year that raise awareness about important health issues and help raise funds for critical programs and services. Our invaluable community partners also host high-profile events that support our caregiving. If you are interested in hosting an event, call (800) 888-CARE.

Check the site often and follow us on Facebook for upcoming events and how you can participate.

",fundraising-sqr.jpg,story1-wide.jpg,"At Baypoint Medical, our goal is to improve the health of our community.",Events,"5003,5004,5005",Events,events,menu-top-links,5,5020,"Join Us"
